02-26-2015 16:31:23;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 5.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:39:41;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Macintosh; Intel Mac OS X 10_9_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 16:45:13;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:52:42;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (iPhone; CPU iPhone OS 8_1_3 like Mac OS X) AppleWebKit/600.1.4 (KHTML, like Gecko) Version/8.0 Mobile/12B466 Safari/600.1.4;;;
02-26-2015 16:53:53;;;shure-kryg.ru;;;195.66.204.102;;;Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 16:58:46;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Linux; Android 4.2.2; GT-I9105P Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36;;;
02-26-2015 16:58:55;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Linux; Android 4.2.2; GT-I9105P Build/JDQ39) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.109 Mobile Safari/537.36;;;
02-26-2015 17:00:35;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 17:18:12;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 17:44:35;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 17:46:11;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.111 Safari/537.36;;;
02-26-2015 17:46:23;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (compatible; MSIE 9.0; Windows NT 6.0; Trident/5.0);;;
02-26-2015 17:47:44;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.0; rv:35.0) Gecko/20100101 Firefox/35.0;;;
02-26-2015 18:25:35;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 18:41:33;;;shure-kryg.ru;;;78.137.18.106;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/40.0.2214.115 Safari/537.36;;;
02-26-2015 19:56:50;;;shure-kryg.ru;;;91.244.7.54;;;Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/38.0.2125.111 Safari/537.36;;;
